ABODE		- ABODE
BLIND		- BLIND
CHOWN_OK	- CHOWN_OK
DARK		- DARK
FREE		- FREE
GOING		- GOING/BYEROOM
HAVEN		- HAVEN
INHERIT		- INHERIT
JUMP_OK		- JUMP_OK
KEY		- KEY
LINK_OK		- LINK_OK
MONITOR		- MONITOR 
NOSPOOF		- NOSPOOF
OPAQUE		- OPAQUE
QUIET		- QUIET
STICKY		- STICKY
TRACE		- TRACE
UNFINDABLE	- UNFINDABLE
VISUAL		- VISUAL
WIZARD		- ROYALTY
ANSI		- ANSI/ANSICOLOR
PARENT_OK	- PARENT_OK
ROYALTY		- COUNCILOR/ARCHITECT
AUDIBLE		- AUDIBLE
BOUNCE		- BOUNCE
CONNECTED	- CONNECTED
DESTROY_OK	- DESTROY_OK
ENTER_OK	- ENTER_OK
FIXED		- NO_TEL
UNINSPECTED	- Not Available - Just a marker flag
HALTED		- HALTED
IMMORTAL	- GUILDMASTER (You don't want IMMORTAL)
GAGGED		- FUBAR
CONSTANT	- NO_MODIFY
LIGHT		- LIGHT
MYOPIC		- MYOPIC
AUDITORIUM	- AUDITORIUM
ZONE		- Use @zone
PUPPET		- PUPPET
TERSE		- TERSE
ROBOT		- ROBOT
SAFE		- SAFE
TRANSPARENT	- TRANSPARENT
SUSPECT		- SUSPECT
VERBOSE		- VERBOSE
STAFF		- Not Available - Just a marker flag.
SLAVE		- SLAVE
ORPHAN		- Not Available - @lock/use the parent instead
CONTROL_OK	- Not Available - Use @lock/ZoneWizLock
STOP		- STOP (See also NOSTOP)
COMMANDS	- COMMANDS
PRESENCE	- Not Available - See: Reality Levels
NOBLEED		- Not Needed.  Rhost doesn't bleed ANSI.
VACATION	- Not Available - Just a marker flag.
HEAD		- Not Available - Just a marker flag.
WATCHER		- Not Available - @toggle MONITOR
HTML		- Not Available - Rhost doesn't support Pueblo
REDIR_OK	- Not Available - Rhost doesn't support @redirect
SPEECHMOD	- Not Available - Rhost doesn't support @speechmod - use @icmd
MARKER0-MARKER9 - MARKER0-MARKER9
